Actual,Predicted
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
