Actual,Predicted
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
